OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 841}) - -13.578200078297053
OrderedDict({'bootstrap': False, 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.541052416177028
OrderedDict({'bootstrap': False, 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.535688708157057
OrderedDict({'bootstrap': True, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 878}) - -13.74805396054272
OrderedDict({'bootstrap': False, 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 841}) - -13.582426949649834
OrderedDict({'bootstrap': False, 'max_depth': 55, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 979}) - -13.60219874818111
OrderedDict({'bootstrap': False, 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 791}) - -13.592103693636068
OrderedDict({'bootstrap': False, 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.55403319059371
OrderedDict({'bootstrap': False, 'max_depth': 88, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 929}) - -13.639619585603773
OrderedDict({'bootstrap': False, 'max_depth': 38, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 944}) - -13.575544922354533
OrderedDict({'bootstrap': False, 'max_depth': 83, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 4, 'n_estimators': 864}) - -13.756625677466634
OrderedDict({'bootstrap': False, 'max_depth': 53, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 960}) - -13.654634033040622
