OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.04641389511670626, 'max_depth': 4, 'n_estimators': 4114, 'subsample': 0.6}) - -13.184094457671254
OrderedDict({'colsample_bytree': 0.975385039136608, 'learning_rate': 0.023031892853156655, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.6}) - -12.92316855873464
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}) - -13.294803376287636
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.012669788914910414, 'max_depth': 10, 'n_estimators': 2955, 'subsample': 0.6}) - -12.815836601600992
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 563, 'subsample': 0.9202562285427911}) - -12.944413919441041
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.028039937207405212, 'max_depth': 10, 'n_estimators': 376, 'subsample': 0.6}) - -12.953269152567094
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.029848959583526208, 'max_depth': 10, 'n_estimators': 858, 'subsample': 1.0}) - -13.370805773629604
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.013179225746373247, 'max_depth': 10, 'n_estimators': 2874, 'subsample': 0.6}) - -12.869320600479963
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1667, 'subsample': 1.0}) - -12.944119951730864
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.04873786915495583, 'max_depth': 10, 'n_estimators': 3496, 'subsample': 1.0}) - -13.031656579651079
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.04763731815832292, 'max_depth': 3, 'n_estimators': 347, 'subsample': 0.6}) - -13.15845565713106
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.03095536765564226, 'max_depth': 10, 'n_estimators': 2905, 'subsample': 0.6}) - -12.984868842147588
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.026087873850260037, 'max_depth': 10, 'n_estimators': 4584, 'subsample': 0.6}) - -12.927822260438763
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 4548, 'subsample': 0.6}) - -13.495811960757703
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 1424, 'subsample': 1.0}) - -13.263330293556981
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.03222040770836719, 'max_depth': 7, 'n_estimators': 3263, 'subsample': 1.0}) - -13.091642058885654
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.017529951661349415, 'max_depth': 10, 'n_estimators': 1735, 'subsample': 0.6}) - -12.877902136403552
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.013727265439527115, 'max_depth': 10, 'n_estimators': 3829, 'subsample': 0.6}) - -12.87859372322526
